,Year,Province,Sex,Age_group,Indicators_Health,Num_Person_Health,J_L_R_Dissatisfied,J_L_R_Going_to_school,J_L_R_not_worked_last_year,J_L_R_Job_leavers,J_L_R_Jobs_losers,J_L_R_Never_worked,J_L_R_Other_reasons,J_L_R_Own_illness_disability,J_L_R_Permanent_layoff,J_L_R_Personal_family_reasons,J_L_R_Retired,J_L_R_Temporary_layoff
0,2017,Alberta,Females,1,Arthritis (15 years and over),14300.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
1,2017,Alberta,Females,1,Asthma,50600.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
2,2017,Alberta,Females,1,"Body mass index, adjusted self-reported, adult (18 years and over), obese",82500.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
3,2017,Alberta,Females,1,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",112700.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
4,2017,Alberta,Females,1,Breast milk feeding initiation,133500.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
5,2017,Alberta,Females,1,Chronic obstructive pulmonary disease (COPD; 35 years and over),0.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
6,2017,Alberta,Females,1,Contact with a medical doctor in the past 12 months,0.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
7,2017,Alberta,Females,1,"Current smoker, daily",43900.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
8,2017,Alberta,Females,1,"Current smoker, daily or occasional",82600.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
9,2017,Alberta,Females,1,Diabetes,6800.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
10,2017,Alberta,Females,1,"Exclusive breastfeeding, at least 6 months",46700.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
11,2017,Alberta,Females,1,"Fruit and vegetable consumption, 5 times or more per day",156700.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
12,2017,Alberta,Females,1,Has a regular healthcare provider,432500.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0
