REF_DATE,GEO,Sex,Age group,Indicators,VALUE
2002,Alberta,Females,1,"Cannabis use, 12 months",63387.0
2002,Alberta,Females,1,"Cannabis use, life",106926.0
2002,Alberta,Females,1,"Eating disorder, current diagnosed condition",0.0
2002,Alberta,Females,1,"Major depressive episode, 12 months",16289.0
2002,Alberta,Females,1,"Major depressive episode, life",29945.0
2002,Alberta,Females,1,"Perceived mental health, fair or poor",23539.0
2002,Alberta,Females,1,"Perceived mental health, good",42278.0
2002,Alberta,Females,1,"Perceived mental health, very good or excellent",154101.0
2002,Alberta,Females,1,"Post-traumatic stress disorder, current diagnosed condition",0.0
2002,Alberta,Females,1,"Self-rated work stress, days a bit stressful",68978.0
2002,Alberta,Females,1,"Self-rated work stress, days not at all or not very stressful",75715.0
2002,Alberta,Females,1,"Self-rated work stress, days quite a bit or extremely stressful",42567.0
2002,Alberta,Females,1,"Suicidal thoughts, 12 months",18622.0
2002,Alberta,Females,1,"Suicidal thoughts, life",44433.0
2002,Alberta,Females,2,"Cannabis use, 12 months",42529.0
2002,Alberta,Females,2,"Cannabis use, life",245370.0
2002,Alberta,Females,2,"Eating disorder, current diagnosed condition",0.0
2002,Alberta,Females,2,"Major depressive episode, 12 months",30572.0
2002,Alberta,Females,2,"Major depressive episode, life",80096.0
2002,Alberta,Females,2,"Perceived mental health, fair or poor",34043.0
2002,Alberta,Females,2,"Perceived mental health, good",159209.0
2002,Alberta,Females,2,"Perceived mental health, very good or excellent",287662.0
2002,Alberta,Females,2,"Post-traumatic stress disorder, current diagnosed condition",8804.0
2002,Alberta,Females,2,"Self-rated work stress, days a bit stressful",169237.0
2002,Alberta,Females,2,"Self-rated work stress, days not at all or not very stressful",101767.0
2002,Alberta,Females,2,"Self-rated work stress, days quite a bit or extremely stressful",127314.0
2002,Alberta,Females,2,"Suicidal thoughts, 12 months",12135.0
2002,Alberta,Females,2,"Suicidal thoughts, life",76757.0
2002,Alberta,Females,3,"Cannabis use, 12 months",8422.0
2002,Alberta,Females,3,"Cannabis use, life",103354.0
2002,Alberta,Females,3,"Eating disorder, current diagnosed condition",0.0
2002,Alberta,Females,3,"Major depressive episode, 12 months",22897.0
2002,Alberta,Females,3,"Major depressive episode, life",61092.0
2002,Alberta,Females,3,"Perceived mental health, fair or poor",38041.0
2002,Alberta,Females,3,"Perceived mental health, good",102048.0
2002,Alberta,Females,3,"Perceived mental health, very good or excellent",203768.0
2002,Alberta,Females,3,"Post-traumatic stress disorder, current diagnosed condition",0.0
2002,Alberta,Females,3,"Self-rated work stress, days a bit stressful",103159.0
2002,Alberta,Females,3,"Self-rated work stress, days not at all or not very stressful",74221.0
2002,Alberta,Females,3,"Self-rated work stress, days quite a bit or extremely stressful",83095.0
2002,Alberta,Females,3,"Suicidal thoughts, 12 months",17754.0
2002,Alberta,Females,3,"Suicidal thoughts, life",55441.0
2002,Alberta,Females,4,"Cannabis use, 12 months",0.0
2002,Alberta,Females,4,"Cannabis use, life",0.0
2002,Alberta,Females,4,"Eating disorder, current diagnosed condition",0.0
2002,Alberta,Females,4,"Major depressive episode, 12 months",0.0
2002,Alberta,Females,4,"Major depressive episode, life",9927.0
